city_name,dt,temp,feels_like,humidity,pressure,speed,description,all
Cairo,1775692800,18.46,17.54,45,1019.0,2.08,clear sky,0
Cairo,1775703600,16.79,15.8,49,1018.0,2.26,clear sky,0
Cairo,1775714400,17.79,16.56,36,1018.0,3.44,clear sky,0
Cairo,1775725200,23.18,22.05,19,1017.0,4.95,clear sky,0
Cairo,1775736000,26.08,26.08,14,1015.0,5.68,clear sky,2
Cairo,1775746800,25.91,24.95,15,1015.0,6.82,broken clouds,56
Cairo,1775757600,22.28,21.29,28,1016.0,5.68,broken clouds,78
Cairo,1775768400,19.32,18.25,36,1017.0,3.63,overcast clouds,98
Cairo,1775779200,17.85,16.81,43,1016.0,1.51,broken clouds,63
Cairo,1775790000,17.02,15.95,45,1016.0,2.18,clear sky,8
Cairo,1775800800,18.98,17.93,38,1017.0,3.21,clear sky,6
Cairo,1775811600,23.99,23.05,23,1017.0,4.72,clear sky,0
Cairo,1775822400,26.42,26.42,18,1015.0,5.98,clear sky,0
Cairo,1775833200,26.01,26.01,20,1015.0,6.09,clear sky,0
Cairo,1775844000,21.7,20.92,38,1017.0,7.04,clear sky,0
Cairo,1775854800,18.15,17.51,57,1018.0,4.16,clear sky,0
Cairo,1775865600,16.61,16.0,64,1017.0,2.82,clear sky,0
Cairo,1775876400,15.41,14.91,73,1017.0,2.79,clear sky,0
Cairo,1775887200,16.99,16.49,67,1018.0,1.91,clear sky,0
Cairo,1775898000,21.88,21.22,42,1018.0,2.63,clear sky,0
Cairo,1775908800,26.0,26.0,27,1016.0,5.23,clear sky,0
Cairo,1775919600,26.4,26.4,25,1015.0,5.66,few clouds,22
Cairo,1775930400,21.02,20.25,41,1018.0,6.63,few clouds,24
Cairo,1775941200,18.02,17.24,52,1018.0,4.58,clear sky,2
Cairo,1775952000,16.63,15.86,58,1017.0,3.59,clear sky,1
Cairo,1775962800,15.75,15.0,62,1017.0,2.84,clear sky,0
Cairo,1775973600,17.58,16.78,53,1018.0,1.9,clear sky,0
Cairo,1775984400,22.22,21.39,34,1018.0,2.7,clear sky,0
Cairo,1775995200,26.47,26.47,19,1015.0,2.78,clear sky,0
Cairo,1776006000,26.98,26.05,19,1015.0,5.8,clear sky,0
Cairo,1776016800,21.29,20.52,40,1018.0,7.54,clear sky,1
Cairo,1776027600,18.11,17.41,55,1019.0,5.53,clear sky,6
Cairo,1776038400,16.67,15.99,61,1018.0,4.18,clear sky,4
Cairo,1776049200,15.87,15.26,67,1018.0,4.2,clear sky,1
Cairo,1776060000,18.59,17.84,51,1019.0,4.35,clear sky,1
Cairo,1776070800,23.78,23.0,30,1018.0,4.83,clear sky,0
Cairo,1776081600,26.99,26.14,22,1016.0,4.67,clear sky,1
Cairo,1776092400,27.22,26.23,20,1015.0,5.49,few clouds,13
Cairo,1776103200,22.76,21.9,31,1016.0,8.25,scattered clouds,31
Cairo,1776114000,19.17,18.29,44,1017.0,6.35,broken clouds,71
London,1775692800,15.68,15.26,75,1021.0,2.01,light rain,57
London,1775703600,12.57,12.05,83,1020.0,2.22,scattered clouds,43
London,1775714400,9.4,8.18,85,1019.0,2.41,scattered clouds,42
London,1775725200,15.15,14.5,68,1019.0,2.75,overcast clouds,100
London,1775736000,21.67,21.25,52,1018.0,5.03,overcast clouds,100
London,1775746800,16.38,15.64,60,1018.0,6.41,overcast clouds,100
London,1775757600,11.74,10.61,63,1019.0,5.76,overcast clouds,100
London,1775768400,9.16,6.77,63,1022.0,4.44,overcast clouds,100
London,1775779200,7.41,4.18,59,1023.0,5.42,overcast clouds,100
London,1775790000,6.71,4.07,62,1022.0,3.8,overcast clouds,100
London,1775800800,5.95,4.42,67,1023.0,2.06,overcast clouds,100
London,1775811600,8.41,8.41,56,1023.0,0.73,overcast clouds,100
London,1775822400,11.71,10.01,41,1021.0,2.97,overcast clouds,93
London,1775833200,11.77,10.07,41,1018.0,4.09,overcast clouds,99
London,1775844000,9.36,7.1,53,1016.0,4.26,overcast clouds,99
London,1775854800,8.27,6.22,65,1014.0,3.36,overcast clouds,100
London,1775865600,8.83,5.98,69,1010.0,5.39,overcast clouds,100
London,1775876400,9.76,7.16,69,1006.0,5.36,overcast clouds,100
London,1775887200,10.63,9.73,76,1003.0,5.06,overcast clouds,100
London,1775898000,12.0,11.29,78,1002.0,6.32,overcast clouds,100
London,1775908800,10.21,9.11,70,1004.0,6.75,overcast clouds,100
London,1775919600,10.78,9.04,43,1007.0,6.87,light rain,92
London,1775930400,9.68,6.78,46,1009.0,6.17,broken clouds,82
London,1775941200,7.59,4.13,69,1009.0,6.14,few clouds,11
London,1775952000,7.53,4.02,74,1009.0,6.23,few clouds,17
London,1775962800,7.48,3.88,77,1008.0,6.45,broken clouds,58
London,1775973600,7.28,3.69,75,1008.0,6.27,scattered clouds,44
London,1775984400,10.74,9.54,64,1008.0,7.21,light rain,35
London,1775995200,13.85,12.28,38,1008.0,7.08,light rain,22
London,1776006000,13.01,11.7,51,1008.0,6.66,light rain,41
London,1776016800,10.7,9.6,68,1010.0,4.51,light rain,44
London,1776027600,8.3,5.72,77,1012.0,4.4,light rain,7
London,1776038400,6.61,4.36,84,1012.0,3.12,clear sky,6
London,1776049200,5.5,3.74,85,1013.0,2.22,clear sky,8
London,1776060000,5.14,3.75,81,1014.0,1.8,few clouds,22
London,1776070800,9.56,8.65,57,1015.0,2.04,broken clouds,72
London,1776081600,12.83,11.34,45,1014.0,3.23,light rain,41
London,1776092400,12.51,10.97,44,1014.0,4.56,light rain,99
London,1776103200,10.53,9.36,66,1015.0,4.17,light rain,99
London,1776114000,8.71,7.18,78,1016.0,2.67,light rain,100
Paris,1775692800,14.94,14.03,59,1022.0,1.13,clear sky,0
Paris,1775703600,11.74,10.64,64,1021.0,1.34,clear sky,1
Paris,1775714400,9.92,9.92,65,1020.0,1.12,few clouds,17
Paris,1775725200,17.54,16.47,43,1021.0,1.34,few clouds,13
Paris,1775736000,23.48,22.72,32,1020.0,1.23,scattered clouds,28
Paris,1775746800,25.58,25.06,33,1018.0,3.02,overcast clouds,96
Paris,1775757600,21.48,21.22,59,1018.0,5.3,light rain,89
Paris,1775768400,14.65,13.92,67,1020.0,5.31,light rain,83
Paris,1775779200,11.72,10.49,59,1022.0,4.75,overcast clouds,92
Paris,1775790000,10.16,8.98,67,1022.0,4.15,overcast clouds,100
Paris,1775800800,9.44,7.48,58,1023.0,3.66,overcast clouds,100
Paris,1775811600,10.7,9.11,49,1023.0,2.08,overcast clouds,100
Paris,1775822400,13.81,12.19,36,1021.0,1.86,overcast clouds,100
Paris,1775833200,15.43,13.89,33,1019.0,2.4,overcast clouds,100
Paris,1775844000,14.09,12.7,44,1017.0,3.55,overcast clouds,100
Paris,1775854800,12.44,11.12,53,1015.0,3.47,overcast clouds,100
Paris,1775865600,11.59,10.35,59,1013.0,3.0,overcast clouds,100
Paris,1775876400,11.45,10.45,69,1010.0,2.56,overcast clouds,100
Paris,1775887200,11.51,10.96,86,1008.0,2.88,light rain,100
Paris,1775898000,13.89,13.71,91,1008.0,4.43,light rain,100
Paris,1775908800,13.99,13.59,82,1009.0,4.62,light rain,100
Paris,1775919600,10.04,9.21,81,1012.0,5.57,light rain,100
Paris,1775930400,9.73,7.78,66,1015.0,3.77,light rain,100
Paris,1775941200,8.73,7.48,60,1017.0,2.28,overcast clouds,91
Paris,1775952000,7.93,6.07,64,1017.0,2.93,overcast clouds,95
Paris,1775962800,6.98,4.64,67,1017.0,3.39,overcast clouds,99
Paris,1775973600,6.47,3.78,70,1017.0,3.8,overcast clouds,99
Paris,1775984400,9.94,7.96,60,1017.0,3.94,overcast clouds,99
Paris,1775995200,13.19,11.69,43,1015.0,4.28,overcast clouds,97
Paris,1776006000,13.64,12.29,47,1014.0,3.73,light rain,100
Paris,1776016800,11.81,10.67,62,1014.0,2.83,light rain,100
Paris,1776027600,10.28,9.32,75,1015.0,2.05,light rain,100
Paris,1776038400,8.99,8.09,80,1015.0,1.91,light rain,100
Paris,1776049200,7.42,6.06,85,1016.0,2.14,broken clouds,70
Paris,1776060000,6.86,5.83,82,1016.0,1.71,scattered clouds,48
Paris,1776070800,10.4,9.04,59,1017.0,2.33,clear sky,0
Paris,1776081600,14.3,12.67,34,1016.0,2.53,clear sky,2
Paris,1776092400,14.37,12.75,34,1016.0,3.03,overcast clouds,94
Paris,1776103200,13.68,12.12,39,1017.0,2.7,overcast clouds,100
Paris,1776114000,11.45,10.06,54,1018.0,0.6,overcast clouds,100
New York,1775692800,6.66,3.64,45,1035.0,4.5,clear sky,0
New York,1775703600,5.71,2.88,54,1036.0,3.74,clear sky,0
New York,1775714400,4.58,2.14,62,1037.0,2.82,clear sky,0
New York,1775725200,4.23,2.5,68,1037.0,1.97,clear sky,3
New York,1775736000,5.07,2.51,67,1037.0,3.11,clear sky,6
New York,1775746800,7.5,4.98,56,1037.0,3.9,few clouds,11
New York,1775757600,9.05,6.29,55,1036.0,5.3,clear sky,10
New York,1775768400,8.76,5.53,60,1034.0,6.4,few clouds,22
New York,1775779200,7.46,4.06,71,1033.0,5.89,scattered clouds,49
New York,1775790000,7.31,4.43,74,1032.0,4.54,scattered clouds,43
New York,1775800800,6.88,4.72,75,1031.0,3.07,few clouds,24
New York,1775811600,6.32,4.11,79,1030.0,2.97,clear sky,2
New York,1775822400,7.28,4.89,75,1030.0,3.57,clear sky,2
New York,1775833200,11.93,10.61,55,1029.0,3.43,clear sky,6
New York,1775844000,15.34,14.21,49,1026.0,5.25,few clouds,23
New York,1775854800,15.24,14.2,53,1023.0,4.58,scattered clouds,42
New York,1775865600,15.65,14.71,55,1022.0,3.42,broken clouds,71
New York,1775876400,14.22,13.32,62,1022.0,4.71,overcast clouds,99
New York,1775887200,13.9,12.94,61,1021.0,4.53,overcast clouds,100
New York,1775898000,11.42,10.34,66,1023.0,6.07,overcast clouds,100
New York,1775908800,8.67,4.97,61,1026.0,7.89,broken clouds,81
New York,1775919600,11.62,9.91,41,1028.0,7.08,clear sky,3
New York,1775930400,15.46,13.87,31,1027.0,5.74,clear sky,1
New York,1775941200,16.41,14.84,28,1027.0,5.12,clear sky,0
New York,1775952000,14.2,12.54,33,1029.0,4.76,clear sky,0
New York,1775962800,11.62,9.88,40,1031.0,3.63,clear sky,3
New York,1775973600,10.51,8.77,44,1032.0,2.03,clear sky,5
New York,1775984400,9.06,7.47,48,1032.0,2.86,clear sky,3
New York,1775995200,9.2,7.52,52,1033.0,3.05,clear sky,5
New York,1776006000,11.5,10.06,52,1033.0,4.41,broken clouds,60
New York,1776016800,13.32,11.86,44,1031.0,5.02,scattered clouds,49
New York,1776027600,14.27,13.03,49,1028.0,5.53,broken clouds,66
New York,1776038400,13.24,12.0,53,1027.0,6.72,broken clouds,74
New York,1776049200,12.07,10.9,60,1026.0,5.49,overcast clouds,98
New York,1776060000,11.94,11.04,71,1024.0,4.35,overcast clouds,99
New York,1776070800,12.66,11.91,74,1021.0,5.09,overcast clouds,95
New York,1776081600,13.51,12.93,77,1020.0,5.87,overcast clouds,98
New York,1776092400,15.27,14.86,77,1018.0,5.56,light rain,100
New York,1776103200,22.66,22.26,49,1016.0,8.26,broken clouds,70
New York,1776114000,24.22,23.95,48,1014.0,7.23,scattered clouds,47
Tokyo,1775692800,13.07,12.0,60,1022.0,7.98,scattered clouds,31
Tokyo,1775703600,16.08,15.08,51,1020.0,10.38,broken clouds,79
Tokyo,1775714400,18.66,17.7,43,1016.0,11.99,overcast clouds,87
Tokyo,1775725200,17.22,16.43,55,1016.0,11.48,overcast clouds,100
Tokyo,1775736000,16.53,15.83,61,1015.0,10.85,overcast clouds,100
Tokyo,1775746800,15.18,14.79,78,1014.0,8.43,light rain,100
Tokyo,1775757600,15.37,15.1,82,1011.0,9.49,light rain,100
Tokyo,1775768400,16.08,15.96,85,1010.0,10.47,overcast clouds,100
Tokyo,1775779200,16.46,16.49,89,1008.0,12.39,light rain,100
Tokyo,1775790000,18.12,18.08,80,1005.0,11.25,light rain,100
Tokyo,1775800800,18.18,18.3,86,1001.0,10.92,overcast clouds,100
Tokyo,1775811600,18.52,18.7,87,1000.0,5.14,light rain,100
Tokyo,1775822400,18.2,17.75,64,1001.0,1.76,overcast clouds,100
Tokyo,1775833200,17.06,16.81,76,999.0,1.4,scattered clouds,32
Tokyo,1775844000,16.37,16.18,81,998.0,1.59,broken clouds,63
Tokyo,1775854800,15.99,15.71,79,1000.0,1.29,broken clouds,77
Tokyo,1775865600,19.37,19.01,63,1001.0,2.26,scattered clouds,43
Tokyo,1775876400,22.56,22.12,48,1001.0,0.2,clear sky,0
Tokyo,1775887200,24.62,24.18,40,1001.0,2.51,clear sky,0
Tokyo,1775898000,23.59,23.15,44,1003.0,1.2,few clouds,11
Tokyo,1775908800,19.29,19.05,68,1007.0,5.13,scattered clouds,28
Tokyo,1775919600,17.24,16.48,56,1009.0,3.45,light rain,87
Tokyo,1775930400,16.4,15.17,41,1011.0,2.7,light rain,94
Tokyo,1775941200,15.63,14.48,47,1013.0,1.88,broken clouds,69
Tokyo,1775952000,17.24,16.27,48,1015.0,2.73,broken clouds,64
Tokyo,1775962800,20.21,19.41,43,1014.0,3.98,broken clouds,65
Tokyo,1775973600,21.21,20.59,46,1014.0,6.38,broken clouds,67
Tokyo,1775984400,19.09,18.57,58,1015.0,7.29,broken clouds,52
Tokyo,1775995200,17.78,17.47,71,1016.0,8.03,broken clouds,75
Tokyo,1776006000,17.22,16.96,75,1016.0,7.23,overcast clouds,100
Tokyo,1776016800,16.86,16.59,76,1015.0,6.03,overcast clouds,100
Tokyo,1776027600,16.64,16.37,77,1015.0,5.36,overcast clouds,99
Tokyo,1776038400,18.74,18.42,67,1015.0,6.33,overcast clouds,100
Tokyo,1776049200,19.93,19.49,58,1013.0,5.38,overcast clouds,100
Tokyo,1776060000,19.25,18.88,63,1011.0,4.9,overcast clouds,100
Tokyo,1776070800,18.73,18.43,68,1012.0,3.8,overcast clouds,94
Tokyo,1776081600,17.94,17.7,73,1012.0,1.76,overcast clouds,97
Tokyo,1776092400,17.43,17.16,74,1012.0,2.16,overcast clouds,100
Tokyo,1776103200,17.81,17.47,70,1012.0,1.33,overcast clouds,100
Tokyo,1776114000,14.47,13.43,56,1015.0,8.43,overcast clouds,100
Dubai,1775692800,22.81,22.92,68,1011.0,1.77,clear sky,5
Dubai,1775703600,23.11,23.15,64,1012.0,2.96,few clouds,12
Dubai,1775714400,24.96,25.08,60,1013.0,3.94,broken clouds,57
Dubai,1775725200,25.42,25.48,56,1012.0,4.38,overcast clouds,100
Dubai,1775736000,26.51,26.51,48,1012.0,3.64,overcast clouds,91
Dubai,1775746800,24.53,24.58,59,1012.0,1.95,light rain,54
Dubai,1775757600,24.1,24.24,64,1014.0,3.61,broken clouds,71
Dubai,1775768400,23.0,23.11,67,1013.0,2.87,light rain,74
Dubai,1775779200,23.71,23.7,60,1011.0,3.56,scattered clouds,41
Dubai,1775790000,24.19,24.28,62,1014.0,0.63,broken clouds,79
Dubai,1775800800,26.19,26.19,54,1016.0,0.99,broken clouds,62
Dubai,1775811600,26.75,27.19,50,1015.0,2.99,broken clouds,69
Dubai,1775822400,26.31,26.31,57,1013.0,4.25,scattered clouds,35
Dubai,1775833200,25.87,26.03,58,1014.0,3.76,scattered clouds,36
Dubai,1775844000,25.66,25.77,57,1015.0,2.37,broken clouds,56
Dubai,1775854800,25.26,25.36,58,1014.0,2.61,overcast clouds,88
Dubai,1775865600,24.84,24.95,60,1013.0,2.69,overcast clouds,93
Dubai,1775876400,24.78,24.91,61,1015.0,1.37,light rain,100
Dubai,1775887200,24.4,24.57,64,1017.0,2.47,light rain,99
Dubai,1775898000,25.76,25.96,60,1016.0,3.83,light rain,100
Dubai,1775908800,28.94,29.46,49,1013.0,2.7,overcast clouds,98
Dubai,1775919600,27.53,28.34,55,1013.0,1.99,overcast clouds,100
Dubai,1775930400,27.63,28.21,52,1013.0,3.94,overcast clouds,100
Dubai,1775941200,26.51,26.51,58,1011.0,3.98,overcast clouds,100
Dubai,1775952000,25.22,25.55,67,1011.0,2.89,overcast clouds,98
Dubai,1775962800,23.68,24.19,80,1014.0,11.23,overcast clouds,100
Dubai,1775973600,24.04,24.46,75,1017.0,9.26,overcast clouds,100
Dubai,1775984400,24.36,24.73,72,1015.0,6.77,overcast clouds,100
Dubai,1775995200,24.87,25.16,67,1012.0,7.18,overcast clouds,100
Dubai,1776006000,26.18,26.18,60,1014.0,1.49,light rain,100
Dubai,1776016800,25.77,26.07,64,1013.0,0.79,overcast clouds,100
Dubai,1776027600,25.27,25.58,66,1012.0,2.91,overcast clouds,100
Dubai,1776038400,24.14,24.62,77,1012.0,2.25,overcast clouds,100
Dubai,1776049200,24.47,24.9,74,1013.0,1.27,overcast clouds,100
Dubai,1776060000,25.97,25.97,64,1014.0,1.65,overcast clouds,100
Dubai,1776070800,26.5,26.5,61,1013.0,3.48,overcast clouds,100
Dubai,1776081600,25.97,25.97,66,1012.0,4.08,overcast clouds,100
Dubai,1776092400,25.1,25.55,72,1013.0,4.37,overcast clouds,100
Dubai,1776103200,24.64,25.09,74,1013.0,3.3,overcast clouds,100
Dubai,1776114000,24.15,24.63,77,1013.0,3.36,broken clouds,73
Lagos,1775692800,26.77,29.4,82,1012.0,2.79,overcast clouds,100
Lagos,1775703600,26.49,26.49,84,1010.0,1.93,overcast clouds,100
Lagos,1775714400,26.2,26.2,85,1011.0,1.43,overcast clouds,100
Lagos,1775725200,31.28,35.71,61,1012.0,2.58,overcast clouds,100
Lagos,1775736000,32.62,37.58,57,1010.0,3.87,light rain,100
Lagos,1775746800,32.12,37.05,59,1008.0,3.29,light rain,89
Lagos,1775757600,27.98,31.75,78,1009.0,3.08,light rain,93
Lagos,1775768400,26.26,26.26,90,1011.0,1.69,light rain,75
Lagos,1775779200,26.27,26.27,90,1011.0,1.36,light rain,86
Lagos,1775790000,26.15,26.15,89,1009.0,1.65,light rain,100
Lagos,1775800800,26.3,26.3,88,1011.0,1.4,overcast clouds,100
Lagos,1775811600,29.35,33.71,71,1013.0,2.66,light rain,100
Lagos,1775822400,32.49,36.68,55,1011.0,3.45,light rain,100
Lagos,1775833200,31.46,35.31,58,1009.0,4.46,overcast clouds,100
Lagos,1775844000,27.22,29.72,75,1010.0,2.35,overcast clouds,98
Lagos,1775854800,26.42,26.42,80,1012.0,1.85,overcast clouds,99
Lagos,1775865600,26.44,26.44,80,1011.0,1.92,overcast clouds,99
Lagos,1775876400,25.68,26.52,85,1010.0,1.42,overcast clouds,100
Lagos,1775887200,25.76,26.64,86,1011.0,1.09,overcast clouds,100
Lagos,1775898000,31.71,35.84,58,1012.0,1.61,overcast clouds,100
Lagos,1775908800,34.7,39.24,48,1011.0,3.52,overcast clouds,91
Lagos,1775919600,32.69,36.82,54,1008.0,4.61,broken clouds,54
Lagos,1775930400,27.96,31.13,74,1009.0,3.14,broken clouds,52
Lagos,1775941200,27.22,30.56,83,1011.0,2.07,scattered clouds,32
Lagos,1775952000,26.86,29.78,84,1009.0,2.49,scattered clouds,34
Lagos,1775962800,26.32,26.32,86,1008.0,1.66,few clouds,24
Lagos,1775973600,26.17,26.17,86,1009.0,1.17,scattered clouds,38
Lagos,1775984400,32.13,37.07,59,1011.0,2.27,broken clouds,57
Lagos,1775995200,34.21,39.21,51,1009.0,4.11,broken clouds,57
Lagos,1776006000,32.29,37.14,58,1007.0,4.71,scattered clouds,26
Lagos,1776016800,28.16,32.18,78,1008.0,3.41,few clouds,20
Lagos,1776027600,27.64,31.48,82,1009.0,3.05,clear sky,5
Lagos,1776038400,27.3,30.88,84,1008.0,3.09,clear sky,3
Lagos,1776049200,26.95,30.0,84,1007.0,3.05,few clouds,21
Lagos,1776060000,26.59,26.59,86,1008.0,2.19,light rain,34
Lagos,1776070800,31.67,36.6,61,1010.0,3.59,light rain,20
Lagos,1776081600,32.29,37.14,58,1009.0,4.04,light rain,51
Lagos,1776092400,32.1,36.41,57,1007.0,4.24,scattered clouds,47
Lagos,1776103200,27.51,30.78,79,1008.0,3.0,light rain,54
Lagos,1776114000,27.15,30.5,84,1009.0,3.47,overcast clouds,100
Berlin,1775692800,5.21,2.53,67,1028.0,3.33,clear sky,6
Berlin,1775703600,0.6,-2.71,66,1028.0,2.92,broken clouds,59
Berlin,1775714400,0.74,-2.47,64,1028.0,2.84,broken clouds,79
Berlin,1775725200,9.28,7.66,35,1027.0,2.98,overcast clouds,99
Berlin,1775736000,11.38,9.2,24,1025.0,3.2,broken clouds,60
Berlin,1775746800,11.41,9.29,26,1023.0,3.17,clear sky,4
Berlin,1775757600,8.74,6.84,35,1022.0,3.26,clear sky,3
Berlin,1775768400,6.13,4.1,42,1022.0,2.67,clear sky,1
Berlin,1775779200,4.15,0.56,48,1020.0,4.44,scattered clouds,29
Berlin,1775790000,3.52,0.03,50,1019.0,4.01,overcast clouds,100
Berlin,1775800800,3.86,0.0,51,1017.0,4.82,overcast clouds,100
Berlin,1775811600,3.96,0.73,70,1018.0,3.76,light snow,100
Berlin,1775822400,6.47,5.39,72,1018.0,1.7,light rain,100
Berlin,1775833200,4.55,2.16,93,1019.0,2.75,light rain,100
Berlin,1775844000,4.63,3.69,85,1020.0,1.38,broken clouds,74
Berlin,1775854800,3.47,2.11,90,1021.0,1.57,clear sky,3
Berlin,1775865600,3.05,1.67,89,1021.0,1.54,scattered clouds,27
Berlin,1775876400,2.46,1.15,89,1020.0,1.43,broken clouds,52
Berlin,1775887200,3.79,3.79,80,1021.0,1.27,scattered clouds,28
Berlin,1775898000,9.0,8.33,54,1020.0,1.67,clear sky,5
Berlin,1775908800,12.71,10.87,32,1018.0,2.93,clear sky,9
Berlin,1775919600,13.89,12.12,30,1016.0,3.07,clear sky,9
Berlin,1775930400,10.88,9.15,43,1016.0,3.2,scattered clouds,28
Berlin,1775941200,8.28,5.79,51,1015.0,4.21,few clouds,24
Berlin,1775952000,6.97,3.76,57,1014.0,5.1,scattered clouds,34
Berlin,1775962800,5.96,3.17,61,1013.0,3.77,scattered clouds,49
Berlin,1775973600,6.7,4.31,62,1013.0,3.37,broken clouds,74
Berlin,1775984400,6.3,5.44,81,1014.0,1.49,light rain,100
Berlin,1775995200,6.24,5.32,87,1014.0,1.53,light rain,100
Berlin,1776006000,6.53,4.68,91,1015.0,2.54,overcast clouds,100
Berlin,1776016800,6.3,6.3,92,1016.0,1.3,light rain,100
Berlin,1776027600,6.26,6.26,91,1016.0,1.08,overcast clouds,100
Berlin,1776038400,6.09,5.09,92,1016.0,1.58,overcast clouds,100
Berlin,1776049200,5.71,5.71,92,1016.0,1.2,overcast clouds,100
Berlin,1776060000,6.39,6.39,85,1016.0,1.15,overcast clouds,100
Berlin,1776070800,8.24,7.46,73,1016.0,1.67,overcast clouds,100
Berlin,1776081600,9.91,8.58,61,1016.0,2.71,overcast clouds,100
Berlin,1776092400,8.74,6.96,74,1016.0,3.06,overcast clouds,100
Berlin,1776103200,7.5,6.79,91,1016.0,1.51,light rain,100
Berlin,1776114000,7.25,6.01,93,1017.0,1.98,light rain,100
